,OCV,Cap (mAh/g),deltaH (kJ/mol),deltaS (J/mol/K)
0,1.9128999999999998,-0.0,144067.60669559005,1102.8
1,0.67144,12333.094213295113,-46863.285922375995,60.137
2,0.47426,24665.231946437194,-14677.733981153991,104.3
3,0.45769000000000004,36999.04351984709,-10495.312015001005,112.97
4,0.44316,49332.85509325697,-13837.242127964,97.051
5,0.42191,61666.66666666687,-23694.710803839,57.092
6,0.39481,73998.08703969418,-25189.378282248996,43.302
7,0.36796,86331.89861310407,-15203.579093883998,68.118
8,0.34767000000000003,98665.71018651394,-19002.953689343,48.799
9,0.33221,110997.13055954126,-35411.554442709,-11.269
10,0.31969000000000003,123330.94213295112,-58166.036074801,-91.67999999999999
11,0.30901,135664.75370636105,-79953.43271942901,-168.25
12,0.29985,147996.17407938835,-86522.60707006499,-193.26
13,0.29166000000000003,160329.98565279823,-75147.43219361399,-157.73999999999998
14,0.2842,172663.79722620815,-56882.90161018,-98.865
15,0.27737999999999996,184995.21759923542,-36237.713639801994,-31.794000000000004
16,0.27103,197329.02917264533,-16371.549775886997,32.815
17,0.26504,209662.84074605518,-368.2286318160024,84.578
18,0.25951,221994.2611190825,10449.911259120998,119.09
19,0.25433999999999996,234328.0726924924,17856.380430214005,142.27
20,0.24958,246652.31946437195,21486.370614818,152.91
21,0.24519,258990.913438547,22723.481226249,155.64
22,0.24111,271329.5074127221,20444.081384481,146.67
23,0.23744,283668.10138689715,15824.562556224002,129.98000000000002
24,0.23428000000000002,295982.7833572463,10473.416208188002,111.0
25,0.23167000000000001,308321.3773314214,5469.714927057002,93.364
26,0.22944,320659.97130559647,593.5472194239999,76.279
27,0.22763,332998.5652797715,-4383.042328026999,58.992999999999995
28,0.22614,345337.15925394656,-8014.343182006,46.324999999999996
29,0.22486,357651.8412242958,-11843.811955894,33.06
30,0.22380999999999998,369990.43519847083,-14525.226356348998,23.722
31,0.22287,382329.0291726459,-16951.438143423,15.276
32,0.22208,394667.623146821,-18565.381330431996,9.6043
33,0.22138,406982.30511717015,-19210.538397401997,7.2127
34,0.22075,419320.89909134526,-19037.287437674997,7.5901
35,0.22016,431659.49306552025,-18252.376891264,10.033
36,0.21959,443998.08703969535,-16957.998251510995,14.192
37,0.219,456312.7690100446,-15784.465905100002,17.939
38,0.21830999999999998,468651.3629842196,-14671.613025398998,21.45
39,0.21756,480989.9569583946,-13774.087025723999,24.219
40,0.21669,493328.5509325697,-13053.914786100997,26.354
41,0.21578999999999998,505667.1449067448,-12726.293986490999,27.162
42,0.21486000000000002,517981.826877094,-12397.566626893999,27.964
43,0.21389,530320.420851269,-12265.831853980999,28.092
44,0.21292,542659.0148254442,-12006.851081067998,28.647
45,0.21193,554997.6087996193,-11857.094601497001,28.829
46,0.21096,567312.2907699684,-11818.335828583997,28.645
47,0.20995,579650.8847441435,-11642.213642355002,28.909
48,0.20898,591989.4787183185,-11548.324869441996,28.91
49,0.208,604328.0726924936,-11523.203243199998,28.677
50,0.20701,616642.7546628428,-11487.282763628999,28.477
51,0.20603,628981.3486370178,-11484.809137387,28.168
52,0.20506,641319.9426111929,-11506.842364473996,27.779999999999998
53,0.20408,653658.536585368,-11499.600738232,27.487000000000002
54,0.2031,665997.130559543,-11568.64711199,26.938
55,0.20216,678311.8125298922,-11768.202899063997,25.964000000000002
56,0.20118999999999998,690650.4065040674,-11823.314126150997,25.465
57,0.20022,702989.0004782424,-11926.999353238,24.802999999999997
58,0.19922,715327.5944524175,-12101.992020337999,23.892
59,0.19823000000000002,727642.2764227666,-12229.971540767,23.142
60,0.19721,739980.8703969417,-12395.882501208996,22.255
61,0.19621,752319.4643711167,-12552.399168308999,21.406000000000002
62,0.19521,764658.0583452918,-12679.413835409,20.656000000000002
63,0.1942,776972.7403156409,-12807.84764918,19.898
64,0.19319,789311.3342898161,-12847.477462950998,19.438
65,0.19218,801649.9282639911,-12916.907276721999,18.878
66,0.19116,813988.5222381662,-12976.432237163997,18.348
67,0.19014,826327.1162123414,-12869.673197605998,18.376
68,0.18912,838641.7981826905,-12749.802158047998,18.448
69,0.18811,850980.3921568656,-12641.623971819,18.484
70,0.18709,863318.9861310405,-12547.976932261,18.468
71,0.18606,875657.5801052157,-12434.591039373998,18.515
72,0.185,887972.2620755648,-12256.6245865,18.769000000000002
73,0.18394,900310.8560497399,-12089.684133626,18.986
74,0.18286,912649.4500239149,-11847.505974093996,19.449
75,0.18176,924988.0439980901,-11611.146107903996,19.886
76,0.18068,937302.7259684392,-11335.591948372003,20.461
77,0.1796,949641.3199426143,-11120.233788839998,20.834
78,0.17851,961979.9139167892,-10921.194775978996,21.149
79,0.17740999999999998,974318.5078909645,-10778.406909788999,21.272
80,0.1763,986633.1898613136,-10647.468190270001,21.352
81,0.17518,998971.7838354886,-10586.488617422,21.194000000000003
82,0.17407,1011310.3778096638,-10562.829897902999,20.913999999999998
83,0.17294,1023648.9717838388,-10679.685471726,20.156
84,0.1718,1035987.5657580137,-10694.852192220002,19.736
85,0.17064000000000001,1048302.2477283631,-10973.011206056,18.427
86,0.16946,1060640.841702538,-11183.978513233995,17.337000000000003
87,0.16824,1072979.435676713,-11339.234407095999,16.421000000000003
88,0.16699999999999998,1085318.0296508884,-11372.1685943,15.908999999999999
89,0.16572,1097632.7116212375,-11231.979368188,15.965
90,0.16441,1109971.3055954124,-10909.499582089002,16.622999999999998
91,0.16306,1122309.8995695875,-10599.550382674,17.226000000000003
92,0.16166999999999998,1134648.4935437627,-10452.621769942996,17.269
93,0.16023,1146963.1755141118,-11079.840890567,14.697999999999999
94,0.15874,1159301.769488287,-12876.266344545998,8.1873
95,0.15723,1171640.3634624619,-15756.346291867001,-1.9662999999999997
96,0.15568,1183978.957436637,-18435.916625872,-11.459999999999999
97,0.15406,1196293.6394069863,-19542.832386574,-15.699000000000002
98,0.15239,1208632.2333811612,-18488.595880631,-12.702
99,0.15061,1220970.8273553362,-15317.779988068998,-2.6380000000000003
100,0.14869,1233309.4213295116,-10402.672148900998,13.234
101,0.14663,1245624.1032998606,-3619.900363126998,35.327999999999996
102,0.14441,1257962.6972740355,2322.1550759110005,54.549
103,0.14196999999999999,1270301.2912482107,3370.8212881870027,57.278000000000006
104,0.1395,1282639.8852223859,387.76006045000065,46.468
105,0.13755,1294978.479196561,-2986.3855403949983,34.514
106,0.13629000000000002,1307293.16116691,-5493.472020941,25.693
107,0.13547,1319631.755141085,-7233.942047963,19.587
108,0.13485999999999998,1331970.3491152602,-8788.159994893998,14.174000000000001
109,0.13436,1344308.9430894353,-9928.341328444001,10.186
110,0.13389,1356623.6250597844,-10761.676021981,7.2374
111,0.1334,1368962.2190339593,-11279.883008859999,5.339799999999999
112,0.13288,1381300.8130081347,-11349.327835752,4.9384
113,0.13228,1393639.4069823097,-11208.860836011998,5.2155
114,0.13159,1405954.0889526587,-10775.120156310999,6.4476
115,0.13077999999999998,1418292.6829268339,-10238.196036661999,7.987100000000001
116,0.12987,1430631.276901009,-9734.058583723,9.3842
117,0.12881,1442969.8708751842,-9196.763730849,10.844
118,0.12769,1455308.4648493591,-8811.858158000998,11.773
119,0.1265,1467623.1468197082,-8418.41061185,12.708
120,0.12525,1479961.7407938833,-8071.621945725001,13.467
121,0.12396,1492300.3347680585,-7584.787866283999,14.683
122,0.12259,1504638.9287422334,-7267.2469602109995,15.305
123,0.12116,1516953.6107125825,-7477.932934163999,14.135
124,0.11964,1529292.2046867579,-8907.129028156,8.8469
125,0.11803000000000001,1541630.7986609328,-12538.801442187,-3.8611999999999997
126,0.11629,1553969.392635108,-17105.183362941,-19.748
127,0.11445000000000001,1566284.074605457,-19683.256350405,-28.995
128,0.11247,1578622.6685796322,-18042.147391263,-24.129
129,0.11025,1590961.2625538073,-12383.966752224998,-5.8606
130,0.10772000000000001,1603299.8565279823,-3795.3820599879996,22.141000000000002
131,0.10478,1615638.4505021572,2623.806818738,42.73
132,0.10167,1627953.1324725065,3170.3222040570013,43.556999999999995
133,0.099298,1640291.7264466817,1351.329413695801,36.685
134,0.097994,1652630.3204208566,262.2002877974001,32.608
135,0.097275,1664968.9143950318,134.89324215249889,31.947999999999997
136,0.09665099999999999,1677283.596365381,-52.537910117898434,31.116999999999997
137,0.09600399999999999,1689622.190339556,-527.7038997315983,29.313
138,0.095375,1701960.7843137311,-1142.282625337499,27.047
139,0.094761,1714299.378287906,-1725.230630936899,24.892
140,0.09413300000000001,1726614.0602582553,-2411.1278418756983,22.387
141,0.093481,1738952.6542324305,-2943.3254048249005,20.389999999999997
142,0.092758,1751291.2482066054,-3481.784509138199,18.349
143,0.09195300000000001,1763629.8421807804,-3779.5938161537006,17.089
144,0.091031,1775944.5241511296,-3911.7503392198996,16.347
145,0.089937,1788283.1181253048,-3890.5293850273006,16.064
146,0.088658,1800621.7120994797,-3647.6266442482006,16.465
147,0.087167,1812960.306073655,-3360.7270128942987,16.945
148,0.08547600000000001,1825298.9000478298,-3091.184314960399,17.302000000000003
149,0.083573,1837613.5820181791,-2692.7147264516984,18.023
150,0.081504,1849952.1759923543,-2468.352572681599,18.106
151,0.079268,1862290.7699665292,-2224.5993683171996,18.2
152,0.076888,1874629.3639407041,-2065.888276015199,17.962
153,0.074391,1886944.0459110537,-1875.0283997638996,17.794
154,0.071807,1899282.6398852286,-1600.0822995502997,17.88
155,0.06916900000000001,1911621.2338594035,-1418.2659913600996,17.636
156,0.066513,1923959.8278335785,-1305.0409471776998,17.156000000000002
157,0.06385400000000001,1936274.509803928,-1248.7424469966006,16.483999999999998
158,0.061211999999999996,1948613.1037781031,-1161.9001974747994,15.92
159,0.058573,1960951.6977522778,-1101.2734039516995,15.269
160,0.056026,1973290.291726453,-1012.5712610553999,14.741999999999999
161,0.053545999999999996,1985604.9736968025,-861.4956354633998,14.446
162,0.05116,1997943.5676709772,-876.8336311639997,13.622
163,0.048879,2010282.1616451524,-747.6405868190997,13.317
164,0.046674,2022620.7556193275,-693.4264277745998,12.785
165,0.044557,2034959.3495935025,-589.8909780252994,12.447
166,0.042538,2047274.0315638517,-508.62509090019927,12.066
